stelling (-2; -1; 0=neutraal; 1; 2),SGP,VVD,CDA,FVD,CU,JA21,NSC,BBB,VOLT,DENK,PVV,BVNL,SP,Partij voor de Dieren,GL-PvdA,D66,BIJ1
Nederland moet minder asielzoekers opvangen,1,2,1,2,-1,2,1,2,-2,-1,2,2,0,-1,-1,-1,-2
Het Rijk moet gemeenten kunnen dwingen om meer huizen te bouwen,-1,1,1,-2,0,-1,2,1,0,2,2,-2,2,1,1,2,2
Er moet meer geld naar armoedebestrijding in Nederland ook als daardoor de belastingen omhoog gaan,-1,-1,1,-1,2,-2,2,1,2,2,1,-2,1,2,2,1,2
Natuurgebieden in Nederland moeten groter worden ook al verdwijnt er dan landbouwgrond,-1,-1,-1,-2,0,-2,0,-2,0,1,-2,-2,1,2,1,1,2
Mensen die vinden dat hun leven voltooid is mogen met professionele hulp een einde aan hun leven maken,-2,1,-2,-1,-2,-1,-1,0,2,-2,0,2,-1,1,1,1,2
Er moet meer geld naar het openbaar vervoer ook als daardoor minder geld overblijft voor wegen,-1,-1,-1,-2,2,-1,1,0,2,1,-1,-2,1,2,2,1,2
Nederland moet altijd minimaal 2% van het nationaal product uitgeven aan defensie,2,2,2,1,2,2,2,2,2,-1,-1,2,-2,-2,0,1,-2
Om de uitstoot van stikstof te verminderen mag de overheid boeren dwingen om hun bedrijf te verkopen,-2,-1,-1,-2,-1,-2,-1,-2,1,-1,-2,-2,-1,2,1,1,2
Er moet meer geld worden uitgegeven aan jeugdzorg ook als de belastingen hierdoor stijgen,0,-1,-1,-1,2,-1,1,0,1,2,-1,-2,1,2,1,1,2
Schiphol moet meer ruimte krijgen om te groeien,-2,1,-2,2,-2,2,-1,-1,-2,-1,2,2,-2,-2,-2,-1,-2
Op kunst en cultuur mag worden bezuinigd,1,1,-1,-1,-1,1,-1,0,-1,0,2,2,-2,-2,-1,-1,-2
Het aantal arbeidsmigranten moet worden verminderd ook als tekorten op de arbeidsmarkt dan toenemen,1,1,1,1,1,2,1,1,-2,-2,2,2,2,1,0,-1,-2
De selectie voor vmbo havo of vwo moet plaatsvinden na gezamenlijke onderbouw,-1,-1,-1,-2,1,-2,-1,-1,2,2,-2,-2,2,2,1,1,2
Er moeten meer koopwoningen worden gebouwd; ook als er dan minder sociale huurwoningen komen,1,1,1,2,-1,2,0,0,0,-2,0,2,-1,-2,-1,1,-2
Rechters moeten vaker gevangenisstraffen geven in plaats van taakstraffen,2,2,1,2,-1,2,0,2,-2,-1,2,2,-1,-2,-1,-1,-2
Bij een begrotingstekort kan de overheid beter bezuinigen dan de belastingen verhogen,1,1,1,2,-1,2,1,2,-1,-1,2,2,-2,-2,-1,1,-2
Er moeten meer windmolens gebouwd worden op het land,-1,-1,-1,-2,1,-2,-1,-2,1,0,-2,-2,-1,2,1,1,2
Er moet meer geld naar ontwikkelingssamenwerking,1,-1,1,-2,2,-2,0,-1,2,2,-2,-2,1,2,2,1,2
Nederland moet minder vluchtelingen toelaten via gezinshereniging,1,1,1,2,-2,2,1,1,-2,-2,2,2,-1,-2,-2,-1,-2
Het moet makkelijker worden om je geslacht in je geboorteakte te veranderen,-2,0,-1,-2,-2,-2,-1,-1,2,-2,-2,-2,1,2,2,2,2
De regering moet zich inzetten om de wolf te beschermen,-2,-1,-2,-2,0,-2,0,-2,2,1,0,-2,1,2,2,1,2
De uitkeringen moeten altijd blijven meestijgen met het minimumloon,1,-1,1,-2,1,-1,2,2,-1,2,1,-2,2,2,2,1,2
Het lidmaatschap van de Europese Unie is tot nu toe vooral slecht geweest voor Nederland,-1,-1,-2,2,-1,1,-1,0,-2,-1,2,2,0,0,-2,-2,-1
Bedrijven die het milieu vervuilen moeten meer belasting gaan betalen,0,-1,-1,-1,1,-2,-1,-1,2,1,-1,-2,1,2,1,1,2
Mensen met een laag inkomen moeten financiële hulp krijgen om hun energierekening te betalen,1,1,1,-1,2,-1,2,1,2,2,2,-2,2,2,2,1,2
Zolang we in Nederland nog aardgas gebruiken; moeten gasboringen zijn toegestaan,1,1,1,2,0,2,1,1,-2,1,2,2,-1,-2,-1,0,-2
Het eigen risico moet worden afgeschaft; ook als hierdoor voor iedereen de zorgpremie stijgt,-1,-1,-1,-1,-1,-1,-1,1,-1,2,0,-2,1,1,0,-1,1
Grote bedrijven moeten meer belasting gaan betalen; ook als daardoor banen verloren gaan,0,-1,-1,-2,1,-2,0,-1,2,1,0,-2,2,2,1,1,2
Oekraïne mag in de toekomst lid van de NAVO worden,-1,1,1,-2,0,-2,2,1,2,0,-2,-2,-2,2,1,2,0
Nederland moet meer kerncentrales bouwen,1,2,2,2,1,2,2,2,2,0,2,2,-1,-2,-1,1,-2
