Stelling (0=Nee; 1=Geen mening; 2=Ja),SGP,VVD,CDA,FVD,CU,JA21,NSC,BBB,VOLT,DENK,PVV,BVNL,SP,Partij voor de Dieren,GL-PvdA,D66,BIJ1
De regering moet ervoor zorgen dat de hoeveelheid vee minstens de helft kleiner wordt,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2
De accijns op benzine gas en diesel moet omlaag,2,2,2,2,0,2,2,2,0,2,2,2,2,0,0,0,2
Het eigen risico bij zorgverzekeringen moet worden afgeschaft,0,0,0,0,0,0,0,2,0,2,2,2,2,2,2,0,2
Elke regio in Nederland moet een vast aantal mensen in de Tweede Kamer krijgen,0,0,2,0,0,2,2,2,0,2,0,2,0,0,0,2,0
Mensen vanaf 65 jaar moeten gratis met trein tram en bus kunnen reizen,0,0,0,2,0,0,0,2,1,2,2,2,2,0,0,0,2
De regering moet meer investeren in opslag van CO2 onder de grond,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0
De regering moet ervoor zorgen dat Surinamers zonder visum  naar Nederland kunnen reizen,0,0,2,0,2,0,2,0,2,2,0,2,2,2,2,2,2
Er moet een wet komen waarin staat dat Nederland altijd 2% van het  bruto binnenlands product  uitgeeft aan defensie,2,2,2,2,2,2,2,2,2,0,0,2,0,0,2,2,0
De overheid moet meer geld geven aan scholen voor lessen in kunst en cultuur,0,0,0,2,0,0,0,0,2,2,0,0,2,2,2,2,2
In Nederland moeten meer kerncentrales komen,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,0
De belasting op vliegreizen moet omhoog,2,0,2,0,2,0,2,0,2,0,0,0,0,2,2,2,0
Huurders moeten het recht krijgen om hun sociale huurwoning te kopen van de  woningcorporatie,0,2,2,2,0,2,0,2,1,2,2,2,0,0,2,2,0
Kinderopvang mag alleen worden aangeboden door organisaties die geen winst maken,0,0,2,0,2,0,2,0,2,2,2,0,2,2,2,2,2
Als een vluchteling in Nederland mag blijven mag het gezin nu naar Nederland komen. De regering moet dat beperken,2,2,2,2,0,2,2,2,0,0,2,2,0,0,0,0,0
De belasting op vermogen boven 57.000 euro moet omhoog,0,0,0,0,2,0,0,0,1,2,2,0,2,2,2,2,2
De overheid moet strenger controleren wat jongeren leren bij kerken moskeeën en andere organisaties die les geven op basis van een levensbeschouwing,0,2,0,0,0,2,0,0,0,0,2,2,2,0,2,2,0
De regering moet ervoor zorgen dat er in 2030 minstens de helft minder  stikstof  in de lucht komt,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,2
Als je recht hebt op een uitkering en je woont samen moet je hetzelfde bedrag krijgen als wanneer je alleen woont,0,0,0,2,1,0,0,2,0,2,0,2,2,2,2,0,2
De regering moet zich ertegen verzetten dat meer landen lid worden van de Europese Unie,2,0,0,2,1,2,0,0,0,0,2,2,2,2,0,0,0
De overheid mag nooit de afkomst of nationaliteit van mensen gebruiken om risico’s op criminaliteit in te schatten,0,0,2,0,2,0,2,2,2,2,0,0,2,2,2,2,2
De overheid moet geen geld meer geven aan mensen om een  elektrische auto  te kopen,0,0,0,2,0,2,2,0,0,0,2,2,2,0,0,0,2
Het  minimumloon moet binnen drie jaar van 11.51 euro bruto per uur naar 16 euro bruto per uur,0,0,0,0,2,0,0,2,2,2,2,0,2,2,2,2,2
De regering moet het bouwen van woonwijken op landbouwgrond gemakkelijker maken,0,2,2,0,0,1,0,0,2,2,0,0,2,2,2,2,2
Inwoners van Nederland moeten een nieuwe wet kunnen tegenhouden met een  referendum,0,0,0,2,0,2,2,2,0,0,2,2,2,2,2,2,0
De regering moet het afsteken van vuurwerk door particulieren  helemaal verbieden,2,0,0,0,2,0,0,0,2,0,0,0,0,2,2,2,2
De overheid moet bedrijven minder geld geven om duurzamer te worden,0,0,0,2,0,2,2,0,0,0,2,2,2,2,0,0,1
Mensen die vinden dat ze klaar zijn met hun leven moeten hulp kunnen krijgen bij zelfdoding,0,2,0,0,0,0,0,1,2,0,1,2,0,2,2,2,2
Nederland moet geen ontwikkelingshulp geven aan landen die weigeren uitgeprocedeerde asielzoekers  terug te nemen,0,2,2,2,0,2,2,2,0,0,2,2,0,0,0,2,0
De huurprijs van woningen mag de komende drie jaar niet stijgen,0,0,0,0,2,0,0,0,0,2,2,0,2,2,2,2,2
Er moeten minimumstraffen komen voor mensen die zwaar geweld gebruiken,2,2,0,2,0,2,0,2,0,2,2,2,0,0,0,0,0
